Date,DayofYear,ChinookCatch,CohoCatch,SockeyeCatch,SteelheadCatch,ChumCatch,PinksCatch
5/22/2023,142,NA,NA,NA,NA,NA,NA
5/23/2023,143,NA,NA,NA,NA,NA,NA
5/24/2023,144,NA,NA,NA,NA,NA,NA
5/25/2023,145,NA,NA,NA,NA,NA,NA
5/26/2023,146,NA,NA,NA,NA,NA,NA
5/27/2023,147,NA,NA,NA,NA,NA,NA
5/28/2023,148,NA,NA,NA,NA,NA,NA
5/29/2023,149,NA,NA,NA,NA,NA,NA
5/30/2023,150,NA,NA,NA,NA,NA,NA
5/31/2023,151,NA,NA,NA,NA,NA,NA
6/1/2023,152,NA,NA,NA,NA,NA,NA
6/2/2023,153,NA,NA,NA,NA,NA,NA
6/3/2023,154,NA,NA,NA,NA,NA,NA
6/4/2023,155,NA,NA,NA,NA,NA,NA
6/5/2023,156,NA,NA,NA,NA,NA,NA
6/6/2023,157,NA,NA,NA,NA,NA,NA
6/7/2023,158,NA,NA,NA,NA,NA,NA
6/8/2023,159,NA,NA,NA,NA,NA,NA
6/9/2023,160,NA,NA,NA,NA,NA,NA
6/10/2023,161,NA,NA,NA,NA,NA,NA
6/11/2023,162,NA,NA,NA,NA,NA,NA
6/12/2023,163,NA,NA,NA,NA,NA,NA
6/13/2023,164,NA,NA,NA,NA,NA,NA
6/14/2023,165,NA,NA,NA,NA,NA,NA
6/15/2023,166,NA,NA,NA,NA,NA,NA
6/16/2023,167,NA,NA,NA,NA,NA,NA
6/17/2023,168,NA,NA,NA,NA,NA,NA
6/18/2023,169,NA,NA,NA,NA,NA,NA
6/19/2023,170,NA,NA,NA,NA,NA,NA
6/20/2023,171,NA,NA,NA,NA,NA,NA
6/21/2023,172,NA,NA,NA,NA,NA,NA
6/22/2023,173,NA,NA,NA,NA,NA,NA
6/23/2023,174,NA,NA,NA,NA,NA,NA
6/24/2023,175,NA,NA,NA,NA,NA,NA
6/25/2023,176,NA,NA,NA,NA,NA,NA
6/26/2023,177,NA,NA,NA,NA,NA,NA
6/27/2023,178,NA,NA,NA,NA,NA,NA
6/28/2023,179,NA,NA,NA,NA,NA,NA
6/29/2023,180,NA,NA,NA,NA,NA,NA
6/30/2023,181,NA,NA,NA,NA,NA,NA
7/1/2023,182,NA,NA,NA,NA,NA,NA
7/2/2023,183,NA,NA,NA,NA,NA,NA
7/3/2023,184,NA,NA,NA,NA,NA,NA
7/4/2023,185,NA,NA,NA,NA,NA,NA
7/5/2023,186,NA,NA,NA,NA,NA,NA
7/6/2023,187,NA,NA,NA,NA,NA,NA
7/7/2023,188,NA,NA,NA,NA,NA,NA
7/8/2023,189,NA,NA,NA,NA,NA,NA
7/9/2023,190,NA,NA,NA,NA,NA,NA
7/10/2023,191,NA,NA,NA,NA,NA,NA
7/11/2023,192,NA,NA,NA,NA,NA,NA
7/12/2023,193,NA,NA,NA,NA,NA,NA
7/13/2023,194,NA,NA,NA,NA,NA,NA
7/14/2023,195,NA,NA,NA,NA,NA,NA
7/15/2023,196,NA,NA,NA,NA,NA,NA
7/16/2023,197,NA,NA,NA,NA,NA,NA
7/17/2023,198,NA,NA,NA,NA,NA,NA
7/18/2023,199,NA,NA,NA,NA,NA,NA
7/19/2023,200,NA,NA,NA,NA,NA,NA
7/20/2023,201,NA,NA,NA,NA,NA,NA
7/21/2023,202,NA,NA,NA,NA,NA,NA
7/22/2023,203,NA,NA,NA,NA,NA,NA
7/23/2023,204,NA,NA,NA,NA,NA,NA
7/24/2023,205,NA,NA,NA,NA,NA,NA
7/25/2023,206,NA,NA,NA,NA,NA,NA
7/26/2023,207,NA,NA,NA,NA,NA,NA
7/27/2023,208,NA,NA,NA,NA,NA,NA
7/28/2023,209,NA,NA,NA,NA,NA,NA
7/29/2023,210,NA,NA,NA,NA,NA,NA
7/30/2023,211,NA,NA,NA,NA,NA,NA
7/31/2023,212,NA,NA,NA,NA,NA,NA
8/1/2023,213,NA,NA,NA,NA,NA,NA
8/2/2023,214,NA,NA,NA,NA,NA,NA
8/3/2023,215,NA,NA,NA,NA,NA,NA
8/4/2023,216,NA,NA,NA,NA,NA,NA
8/5/2023,217,NA,NA,NA,NA,NA,NA
8/6/2023,218,NA,NA,NA,NA,NA,NA
8/7/2023,219,NA,NA,NA,NA,NA,NA
8/8/2023,220,NA,NA,NA,NA,NA,NA
8/9/2023,221,NA,NA,NA,NA,NA,NA
8/10/2023,222,NA,NA,NA,NA,NA,NA
8/11/2023,223,NA,NA,NA,NA,NA,NA
8/12/2023,224,NA,NA,NA,NA,NA,NA
8/13/2023,225,NA,NA,NA,NA,NA,NA
8/14/2023,226,NA,NA,NA,NA,NA,NA
8/15/2023,227,NA,NA,NA,NA,NA,NA
8/16/2023,228,NA,NA,NA,NA,NA,NA
8/17/2023,229,NA,NA,NA,NA,NA,NA
8/18/2023,230,NA,NA,NA,NA,NA,NA
8/19/2023,231,NA,NA,NA,NA,NA,NA
8/20/2023,232,NA,NA,NA,NA,NA,NA
8/21/2023,233,NA,NA,NA,NA,NA,NA
8/22/2023,234,NA,NA,NA,NA,NA,NA
8/23/2023,235,NA,NA,NA,NA,NA,NA
8/24/2023,236,NA,NA,NA,NA,NA,NA
8/25/2023,237,NA,NA,NA,NA,NA,NA
8/26/2023,238,NA,NA,NA,NA,NA,NA
8/27/2023,239,NA,NA,NA,NA,NA,NA
8/28/2023,240,NA,NA,NA,NA,NA,NA
8/29/2023,241,NA,NA,NA,NA,NA,NA
8/30/2023,242,NA,NA,NA,NA,NA,NA
8/31/2023,243,NA,NA,NA,NA,NA,NA
9/1/2023,244,NA,NA,NA,NA,NA,NA
9/2/2023,245,NA,NA,NA,NA,NA,NA
9/3/2023,246,NA,NA,NA,NA,NA,NA
9/4/2023,247,NA,NA,NA,NA,NA,NA
9/5/2023,248,NA,NA,NA,NA,NA,NA
9/6/2023,249,NA,NA,NA,NA,NA,NA
9/7/2023,250,NA,NA,NA,NA,NA,NA
9/8/2023,251,NA,NA,NA,NA,NA,NA
9/9/2023,252,NA,NA,NA,NA,NA,NA
9/10/2023,253,0,0,0,0,0,0
9/11/2023,254,0,0,0,0,0,0
9/12/2023,255,29,30,0,0,0,0
9/13/2023,256,77,31,0,0,0,0
9/14/2023,257,0,0,0,0,0,0
9/15/2023,258,400,641,2,0,0,16
9/16/2023,259,0,0,0,0,0,0
9/17/2023,260,0,0,0,0,0,0
9/18/2023,261,81,189,0,0,0,5
9/19/2023,262,86,419,0,0,0,3
9/20/2023,263,41,398,6,0,0,6
9/21/2023,264,70,297,11,0,0,3
9/22/2023,265,67,250,0,0,0,2
9/25/2023,268,34,151,1,0,0,1
9/26/2023,269,32,316,0,0,0,8
9/27/2023,270,39,422,15,0,0,11
9/28/2023,271,16,215,0,0,0,10
9/29/2023,272,4,151,0,0,0,4
9/30/2023,273,0,0,0,0,0,0
10/1/2023,274,0,0,0,0,0,0
10/2/2023,275,2,63,0,0,0,3
10/3/2023,276,2,57,0,0,0,4
10/4/2023,277,2,87,0,0,0,0
10/5/2023,278,7,139,0,0,0,2
10/6/2023,279,4,38,0,0,0,0
10/7/2023,280,0,0,0,0,0,0
10/8/2023,281,0,0,0,0,0,0
10/9/2023,282,1,39,0,0,0,1
10/10/2023,283,0,0,0,0,0,0
10/11/2023,284,0,0,0,0,0,0
10/12/2023,285,NA,NA,NA,NA,NA,NA
10/13/2023,286,NA,NA,NA,NA,NA,NA
10/14/2023,287,NA,NA,NA,NA,NA,NA
10/15/2023,288,NA,NA,NA,NA,NA,NA
10/16/2023,289,NA,NA,NA,NA,NA,NA
10/17/2023,290,NA,NA,NA,NA,NA,NA
10/18/2023,291,NA,NA,NA,NA,NA,NA
10/19/2023,292,NA,NA,NA,NA,NA,NA
10/20/2023,293,NA,NA,NA,NA,NA,NA
10/21/2023,294,NA,NA,NA,NA,NA,NA
10/22/2023,295,NA,NA,NA,NA,NA,NA
10/23/2023,296,NA,NA,NA,NA,NA,NA
10/24/2023,297,NA,NA,NA,NA,NA,NA
10/25/2023,298,NA,NA,NA,NA,NA,NA
10/26/2023,299,NA,NA,NA,NA,NA,NA
10/27/2023,300,NA,NA,NA,NA,NA,NA
10/28/2023,301,NA,NA,NA,NA,NA,NA
10/29/2023,302,NA,NA,NA,NA,NA,NA
10/30/2023,303,NA,NA,NA,NA,NA,NA
10/31/2023,304,NA,NA,NA,NA,NA,NA
11/1/2023,305,NA,NA,NA,NA,NA,NA
11/2/2023,306,NA,NA,NA,NA,NA,NA
11/3/2023,307,NA,NA,NA,NA,NA,NA
11/4/2023,308,NA,NA,NA,NA,NA,NA
11/5/2023,309,NA,NA,NA,NA,NA,NA
11/6/2023,310,NA,NA,NA,NA,NA,NA
11/7/2023,311,NA,NA,NA,NA,NA,NA
11/8/2023,312,NA,NA,NA,NA,NA,NA
11/9/2023,313,NA,NA,NA,NA,NA,NA
11/10/2023,314,NA,NA,NA,NA,NA,NA
11/11/2023,315,NA,NA,NA,NA,NA,NA
11/12/2023,316,NA,NA,NA,NA,NA,NA
11/13/2023,317,NA,NA,NA,NA,NA,NA
11/14/2023,318,NA,NA,NA,NA,NA,NA
11/15/2023,319,NA,NA,NA,NA,NA,NA
11/16/2023,320,NA,NA,NA,NA,NA,NA
11/17/2023,321,NA,NA,NA,NA,NA,NA
11/18/2023,322,NA,NA,NA,NA,NA,NA
11/19/2023,323,NA,NA,NA,NA,NA,NA
11/20/2023,324,NA,NA,NA,NA,NA,NA
11/21/2023,325,NA,NA,NA,NA,NA,NA
11/22/2023,326,NA,NA,NA,NA,NA,NA
11/23/2023,327,NA,NA,NA,NA,NA,NA
11/24/2023,328,NA,NA,NA,NA,NA,NA
11/25/2023,329,NA,NA,NA,NA,NA,NA
11/26/2023,330,NA,NA,NA,NA,NA,NA
11/27/2023,331,NA,NA,NA,NA,NA,NA
11/28/2023,332,NA,NA,NA,NA,NA,NA
11/29/2023,333,NA,NA,NA,NA,NA,NA
11/30/2023,334,NA,NA,NA,NA,NA,NA
12/1/2023,335,NA,NA,NA,NA,NA,NA
12/2/2023,336,NA,NA,NA,NA,NA,NA
12/3/2023,337,NA,NA,NA,NA,NA,NA
12/4/2023,338,NA,NA,NA,NA,NA,NA
12/5/2023,339,NA,NA,NA,NA,NA,NA
12/6/2023,340,NA,NA,NA,NA,NA,NA
12/7/2023,341,NA,NA,NA,NA,NA,NA
12/8/2023,342,NA,NA,NA,NA,NA,NA
12/9/2023,343,NA,NA,NA,NA,NA,NA
12/10/2023,344,NA,NA,NA,NA,NA,NA
12/11/2023,345,NA,NA,NA,NA,NA,NA
12/12/2023,346,NA,NA,NA,NA,NA,NA
12/13/2023,347,NA,NA,NA,NA,NA,NA
12/14/2023,348,NA,NA,NA,NA,NA,NA
12/15/2023,349,NA,NA,NA,NA,NA,NA
12/16/2023,350,NA,NA,NA,NA,NA,NA
12/17/2023,351,NA,NA,NA,NA,NA,NA
12/18/2023,352,NA,NA,NA,NA,NA,NA
12/19/2023,353,NA,NA,NA,NA,NA,NA
12/20/2023,354,NA,NA,NA,NA,NA,NA
12/21/2023,355,NA,NA,NA,NA,NA,NA
12/22/2023,356,NA,NA,NA,NA,NA,NA
12/23/2023,357,NA,NA,NA,NA,NA,NA
12/24/2023,358,NA,NA,NA,NA,NA,NA
12/25/2023,359,NA,NA,NA,NA,NA,NA
12/26/2023,360,NA,NA,NA,NA,NA,NA
12/27/2023,361,NA,NA,NA,NA,NA,NA
12/28/2023,362,NA,NA,NA,NA,NA,NA
12/29/2023,363,NA,NA,NA,NA,NA,NA
12/30/2023,364,NA,NA,NA,NA,NA,NA
12/31/2023,365,NA,NA,NA,NA,NA,NA
